,news_url,title,no_of_retweets,label
42,nautisme.lefigaro.fr/blogs/adele-sm…,"French media to be put under police protection according to Le Figaro, quoting source in police. #Charliehebdo",116,1
43,dailymail.co.uk,Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38,214,1
44,huffingtonpost.co.uk/jessica-elgot/,Armed men were reportedly asking for journalists by name at Charlie Hebdo. Unimaginable..  http://t.co/A11KlzNPnn,208,1
45,instagram.com/afpphoto,#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo: @MartinBureau1 #AFP http://t.co/xkczbYS82E,141,1
46,imageforum.afp.com,#CharlieHebdo - 11 dead including 2 police in Paris shooting by @MartinBureau1 #AFP http://t.co/T8HpVdpjjN,205,1
47,dailymail.co.uk,Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT,104,1
48,mirror.co.uk,Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN,124,1
49,time.com,Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo http://t.co/K4WBMHDNxO,151,1
50,bbc.co.uk/news,"French President Hollande condemns ""barbaric act"" after #CharlieHebdo gun attack kills 11 http://t.co/keuR4WvpHu http://t.co/vyuRvukz1N",1829,1
51,spiegel.de,"Video showing #CharlieHebdo attack. ""Allahu akbar"" shouts http://t.co/y1ErbSGv5P",240,1
52,dailymail.co.uk,#CharlieHebdo gunmen fled in stolen car after 'mass shoot-out' with police officers http://t.co/eocvQn42Hg http://t.co/545ooj5xMM,144,1
53,ap.org,"French leader: Attack that killed 11 at Paris newspaper an act of terror, other attacks thwarted in recent weeks: http://t.co/9rrqfEaQj5",424,1
54,news.sky.com,Reports #CharlieHebdo gunmen were asking for journalists by name before opening fire. Armed with AK47s and RPG,161,1
55,brookings.edu/about/centers/…,Graphic: Video shows gunmen with automatic rifles during attack on #CharlieHebdo in #Paris: https://t.co/fQXxNsJOWq http://t.co/Y0uxe72R2N,958,1
56,telegraph.co.uk,Reports that two of the dead in the #CharlieHebdo attack are police officers http://t.co/2J4WQdJnTp http://t.co/LiPDxdq1cb,141,1
57,thedailybeast.com,Awful. 11 shot dead in an assault on a Paris magazine. http://t.co/xxINS8etDB #CharlieHebdo http://t.co/as3YoLthcx,140,1
58,facebook.com/jenan.moussa.5,"New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout ""Allahu Akbar"" http://t.co/TaZEDtGFlW @akhbar",222,1
59,instagram.com/afpphoto,Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5,573,1
60,matchboxmedia.org/about/matchbox…,Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH …,134,1
61,topics.nytimes.com/top/reference/…,"Charlie Hebdo journalist Wandrille Lanos tells France 2 that men with kalashnikovs entered the office, calls it a ""scene of carnage.""",177,1
62,tommyrobinson.co.uk,"Fact that the Gunmen were shouting ""Allah Hu Akbar"" while shooting rules out any connection with the Religion of peace. #CharlieHebdo",200,1
63,salimallawzi.com,Cartoonist Stephane Charbonnier was critically injured in the attack (LeFigaro) #CharlieHebdo http://t.co/fHMfUmQffo,172,1
64,euronews.com,12 confirmed dead  in #CharlieHebdo attack (@AFP) http://t.co/82wVYNxteC,106,1
65,theguardian.com,"Nine journalists and two police officers killed in #CharlieHebdo attack, police spokesman confirms http://t.co/KtQOYWXKev",180,1
66,channel4.com/news,Twelve people confirmed dead in shooting at French satirical magazine Charlie Hebdo in Paris http://t.co/X6UWH7PFP1 http://t.co/TCWtE8nkpm,125,1
67,blogs.channel4.com/snowblog/blogs…,Charlie Hebdo shooting is a ferociously shocking moment with terrible implications for us all:  http://t.co/sIJO1vRp3w Twelve now dead.,557,1
68,i100.independent.co.uk,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5,120,1
69,skynews.com,Update - Police say 12 people killed after armed gunmen stormed headquarters of French weekly publication 'Charlie Hebdo' in #Paris,161,1
70,bbc.co.uk/news,Police say 12 now dead in #CharlieHebdo attack including 2 police officers; prosecutor says gunmen still at large http://t.co/4AaqPAQMOb,1614,1
71,skynews.com,12 people now known to have died after gunmen stormed the Paris HQ of magazine #CharlieHebdo http://t.co/ImgE2AACPw http://t.co/h2wgFokYVW,560,1
72,priceslicer.co.uk,"Terrorist Attack #footage today, 11 dead in Paris @Charlie_Hebdo_  newspaper http://t.co/5sIQslHCeh",4082,1
73,independent.co.uk,BREAKING: Police official confirms that 12 have died in the attack on the #CharlieHebdo headquarters http://t.co/K7ZHV9C27F,111,1
74,theguardian.com,Charlie Hebdo shooting: twelve dead at Paris offices of satirical magazine  – live updates http://t.co/Yc1915SVdD,193,1
75,cnn.com,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs",1133,1
76,telegraph.co.uk,"12 dead in Paris attack on #CharlieHebdo office, five others critical http://t.co/2J4WQdJnTp http://t.co/qeRByqI6JU",104,1
77,bloomberg.com,Paris is on the highest terrorist alert after 12 people were shot dead at the offices of a satirical weekly magazine. http://t.co/040PfC0If8,144,1
78,abc.net.au/pm,“@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” http://t.co/7USD83cQd2 http://t.co/WGHbLiLFoX”,309,1
79,usatoday.com,"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U",277,1
80,RT.com,"Gunshots heard as well as shouts of ""Allahu Akbar!"" in amateur videos of #CharlieHebdo attack http://t.co/3Jsosc7yl3 http://t.co/NM8T2KJJGx",189,1
81,conflict-news.com,"Photo of the 2 cartoonists killed in the attack on #CharlieHebdo in #Paris today. RIP.

via @LePoint. http://t.co/mms8xWU1Ze",569,1
82,adambellick.com,#CharlieHebdo liveblog by @Independent says news director Charb in critical cond. AQ put price put his head in '13 http://t.co/kGVAxtzyt4,124,1
83,seeingredonline.com,"French police confirm that the #CharlieHebdo attackers shouted ""The Prophet has been avenged"".

Sigh.",135,1
84,time.com,Breaking: Paris police say 12 dead after shooting at Charlie Hebdo http://t.co/kugeXjzDlf,262,1
85,skynews.com,"Gunmen at #CharlieHebdo's Paris HQ shouted they had ""avenged the prophet"", reports say http://t.co/1z7NtGWe5i http://t.co/IEWCMH7oUV",533,1
86,thenews.com.pk/TodaysPrintWri…,Those who killed 11 and injured scores at HQ of French satirical magazine #CharlieHebdo have done a huge disservice to Islam and Muslims,130,1
87,RT.com,PHOTO: Armed gunmen face police officers near #CharlieHebdo HQ in Paris http://t.co/3Jsosc7yl3 http://t.co/iOpVNO6Iq0,113,1
88,youtube.com/TheRealAnonMes…,MORE PHOTOS: Armed gunmen fire at police near #CharlieHebdo HQ #ParisShooting http://t.co/bb3JNdmTeF,110,1
89,dailymail.co.uk,Unconfirmed reports gunmen asked for people by name before killing editor and cartoonist http://t.co/26GC840I9k #CharlieHebdo,122,1
90,RT.com,"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",141,1
91,independent.co.uk,#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports http://t.co/4wugwxfVjj http://t.co/SblgDDXGiD,339,1
92,wsj.com,At least 12 dead in the Paris shooting. Updated story and background info: http://t.co/QlPpQ2ss8j #CharlieHebdo http://t.co/DwMlafsD6K,338,1
93,vicenews.com,LIVE: Paris on alert as gunmen kill twelve in massacre at #CharlieHebdo magazine office: http://t.co/q0K4AorQmJ http://t.co/rb4DycPVeC,246,1
94,cnn.com,"At least 12 people were killed in today's deadly attack on #CharlieHebdo, an official says. http://t.co/aNxmNzN3LE http://t.co/UIHx6WUAvg",1752,1
95,aljazeera.com,#CharlieHebdo's lawyer says the magazine's editor-in-chief was killed in the attack. More on this developing story: http://t.co/ryZaVLR6mM,137,1
96,RT.com,"#CharlieHebdo Attack UPDATE: Cartoonists Cabu, Charb, Wolinski die - report http://t.co/3Jsosc7yl3 http://t.co/3H1ZbykE0D",177,1
97,sputniknews.com,UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g,220,1
98,shotinthedarkmovie.com,"This was a well-planned attack: the gunmen hit #CharlieHebdo in the middle of the weekly conference, with all staff present.",178,1
99,musingsbysoggymog.blogspot.com,"Reports gunmen shouted ""Allahu Akbar"" &amp; ""the prophet was avenged"". If we don't share these, they win. #JeSuisCharlie http://t.co/0ykqcFmUJ7",155,1
100,wikileaks.org,"11 just killed in Paris by ""Alu Akhbar"" shouting armed men in attack on  satirical mag Charlie Hebdo. Background: http://t.co/MUf8ACNbVS",237,1
101,mjrharris.co.uk,"Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous",175,1
102,cbc.ca/day6,"“I don’t feel as though I’m killing someone with a pen."" -Stephane Charbonnier 1967-2015 #CharlieHebdo http://t.co/RmJlpSsaNt",1358,1
103,hrw.org,"Top French cartoonists Charb, Cabu, Wolinski, Tignous confirmed among dead in #Paris #CharlieHebdo attack. Editor is critically wounded.",148,1
104,vice.com,Paris is on alert after gunmen killed twelve people at the office of satirical magazine Charlie Hebdo http://t.co/aUlvfkdg5u,144,1
105,agnespoirier.org,"France's most talented cartoonists:Cabu, Wolinski, Charb, Tignous died in #CharlieHebdo attack http://t.co/HrNScpSyMj http://t.co/GSG45GlgIt",1222,1
106,independent.co.uk,"Police confirm deaths of four of France's most celebrated cartoonists Charb, Cabu, Wolinski and Tignous #CharlieHebdo http://t.co/K7ZHV9C27F",847,1
107,france24.com/en/,"According to #CharlieHebdo’s lawyer four well-known French cartoonists were killed by the masked gunmen: Cabu, Wolinski, Charb et Tignous.",109,1
108,telegraph.co.uk,Gunmen showed advanced military skills in Paris #CharlieHebdo attack: http://t.co/Q5FIaTLF8G http://t.co/XiZLErM37y,296,1
109,huffingtonpost.co.uk,"4 #CharlieHebdo cartoonists killed:

- Charb
- Cabu
- Tignous
- Georges Wolinski

#JeSuisCharlie http://t.co/QbaEYog2S2",912,1
110,bbc.com/news,"As #CharlieHebdo attack unfolded, a journalist tweeted while taking shelter on a roof http://t.co/VUnbUrUpws http://t.co/P8E6hJcmHw",429,1
111,thedailybeast.com,"Police: Four of France's most celebrated cartoonists killed: Charb, Cabu, Wolinski, &amp; Tignous http://t.co/g0dRKU3qCV #CharlieHebdo",165,1
112,channel4.com/news,"""You tell the media it was al-Qaeda in Yemen"" - reported words of #CharlieHebdo attackers. 
Read more: http://t.co/qDPrycGtAR
#c4news",144,1
113,instagram.com/afpphoto,#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/7aR1fN2hB4,126,1
114,imageforum.afp.com,#CharlieHebdo - Paris media attack kills 4 cartoonists including chief editor. #AFP http://t.co/Zc8KZ0wNwR,117,1
115,bbc.co.uk/news,"#CharlieHebdo editor-in-chief Stephane Charbonnier, known as ""Charb"", &amp; 3 other cartoonists killed - judicial sources http://t.co/R6fzwhMB6l",858,1
116,bellingcat.com,#CharlieHebdo witness - Gunmen told me to tell the media they were Al-Qaeda in Yemen http://t.co/AyDSKynXG2 h/t @chawk228,107,1
117,Maxabrahms.com,"BREAKING: French authorities say the two #CharlieHebdo terrorists are still ""armed and extremely dangerous.""",106,1
118,wsj.com,Staff of #CharlieHebdo magazine were shot as they were in the midst of an editorial meeting. Latest updates: http://t.co/E0XArYscqK,248,1
119,brookings.edu/about/centers/…,Witness to #CharlieHebdo attack claims gunmen told him it was “Al-Qaeda in Yemen” (i.e. AQAP): http://t.co/gGyLxyvSTw http://t.co/3jcdj9dZcD,109,1
120,skynews.com,Update - Police say 3 gunmen on the loose after 12 people were killed when HQ of satirical publication #CharlieHebdo was attacked in #Paris,137,1
121,skynews.com,"Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris, police say. https://t.co/3QkWHN0kgy",115,1
122,bbc.co.uk/news,"Three attackers being hunted for assault on French magazine #CharlieHebdo, French interior minister says http://t.co/F7ZB9JXIfe",566,1
123,sierraclub.bc.ca,"Most compelling image I've seen to come out of horrifying events in Paris, courtesy of Banksy. #JeSuisCharlie http://t.co/EKBfbRR3HT",190,1
124,anonymouslegionops.blogspot.com,Nice work from Banksy #JeSuisCharlie http://t.co/w9pJIrf7cP,233,1
125,facebook.com/melanietaitabc,Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) http://t.co/GKFP5xVAoc,100,1
126,aljazeera.com,BREAKING: French police say they have located whereabouts of two suspects said to be behind attacks in Paris More at: http://t.co/WezWaJNjkZ,137,1
127,ABCNews.com,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB,121,1
128,pisarski.pl,"#banksy You can try to break the pencil but it will multiply...
#jesuischarlie http://t.co/iO1xSrQTvg",111,1
129,facebook.com/erichbergen,This illustration by @LucilleClerc says it all. #JeSuisCharlie http://t.co/UctYcW96A4,110,1
130,facebook.com/russianmarket.…,#BREAKING HOSTAGES TAKEN AT A BUSINESS IN DAMMARTIN-EN-GOELE - RTL REPORTS #France http://t.co/aa3FJVho8K,102,1
131,bbcnews.com/europe,Reports of shooting at  Dammartin en Goele on route N2 north east of Paris - French media says car chase under way,114,1
132,afp.com/en,#BREAKING Hostages taken north-east of Paris: police,833,1
133,bloomberg.com,"BREAKING NEWS: Shots Fired, Hostages Taken in Town Northeast of Paris http://t.co/cvtBTLqc6e",145,1
134,independent.co.uk,"BREAKING: Reports of shots fired, hostages taken in town Northeast of Paris http://t.co/f30TSVt1yN http://t.co/jeuTP0IOZg",159,1
135,NBCNews.com,"BREAKING: Gunfire, hostages taken in Dammartin-en-Goële, east of Paris, as police chase suspected #CharlieHedbo attackers",202,1
136,internationalspectator.com,BREAKING: French police chasing a Peugeot on motorway around Paris and say hostages have been taken by Cahrlie Hedbo attack gunmen.,152,1
137,breakingnews.com/about/mobile,Convoy of police cars rushing toward town northeast of Paris amid reports of hostages taken - @FRANCE24 broadcast http://t.co/ZFJYh80uxy,176,1
138,ABCNews.com,BREAKING: French Interior minister: Suspects in Paris terror attack believed to be holding at least 1 hostage near Dammartin-en-Goele.,146,1
139,ap.org,"MORE: Operation to detain massacre suspects unfolding in Dammartin-en-Goele, about 25 miles northeast of Paris: http://t.co/H1bHg5T7Ec",144,1
140,afp.com/en,"#UPDATE: Car chase, hostage drama as Paris massacre suspects cornered http://t.co/G958ogOrXZ",191,1
141,breakingnews.com/about/mobile,Report: Hostages taken at a printing shop northeast of Paris; some injuries - @FRANCE24 broadcast http://t.co/hasCHjOVnC,272,1
142,skynews.com,Update - Reuters reports at least one person killed &amp; several injured in shootout before hostage-taking in Dammartin-en-Goele in France,269,1
143,nytimes.com,"Breaking News: Reports of Gunfire and Hostage in Search for Suspects in Paris Attack
http://t.co/U8BE162qls",208,1
144,timsullivan23.tumblr.com,#ChalieHebdo terrorists are held up in a warehouse with hostages. #JeSuisCharlie http://t.co/AJYsqfKMwa,106,1
145,cnn.com,"Operation underway in the Dammartin-en-Goele area, as police hunt Paris shooting suspects, French interior minister tells CNN affiliate.",363,1
146,ap.org,BREAKING: French police: Suspects in newspaper attack appear to have taken a hostage northeast of Paris,385,1
147,afp.com/en,#BREAKING Paris massacre suspects holding one hostage: police source,339,1
148,cnn.com,"Meaux hospital sent medical team to reported hostage scene northeast of Paris, hospital communications director says. http://t.co/vncToPmhMX",263,1
149,RT.com,"Schools closed, Dammartin-en-Goele residents told to stay indoors, town 'like warzone' http://t.co/G6eunBDIrj http://t.co/FAtmW7d3xk",104,1
150,ap.org,MORE: Massacre suspects believed to have taken hostage and holed up in small industrial town northeast of Paris: http://t.co/lmr2ImJhmr,163,1
151,wsj.com,"Industrial zone in Dammartin-en-Goël, near Paris, scene of hostage taking and manhunt. More: http://t.co/8zhiaZAshc http://t.co/zCpXy3EN1P",166,1
152,instagram.com/afpphoto,Special forces stands on the roof of a building in Dammartin-en-Goele where a hostage-taking is underway #AFP http://t.co/gcm7TRRVfd,291,1
153,instagram.com/afpphoto,Helicopters and vehicles are seen next to a building in Dammartin-en-Goele where a hostage-taking is underway #AFP http://t.co/CBBLljNX0K,184,1
154,newsonthemin.weebly.com,Military helicopters seen dropping special forces in fields around Dammartin-en-Goele - @SkyNews http://t.co/tap0ntW3Rg,123,1
0,elcieloverde.tumblr.com,Black teenage boys are not men. They are children. Stop referring to a 17 year old as a man. You are killing children. #ferguson,236,0
1,NorthCampus.org,The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/YlxEDKoebB,410,0
2,NorthCampus.org,Police have brought out the large gear in #Ferguson. http://t.co/2gxUzOvwfy,469,0
3,chironhealingacu.com,"When you see citizens as enemies... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xTwwfXC8zy""",151,0
4,chironhealingacu.com,Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.,122,0
5,rapideyereality.com,Here’s to hoping what’s happening in STL right now doesn’t get worse. #Ferguson hashtag not looking good right now. http://t.co/0fhU5EopGa,150,0
6,ksdk.com,Patrol cars still flood the streets in #ferguson more than 6 hours after police officer shot teenager @ksdknews http://t.co/fCCGAfIRbG,104,0
7,facebook.com/tracie.thoms,"Another day, another shooting of an unarmed black teenager in America by authority figures. #STL #Ferguson",178,0
8,NorthCampus.org,People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj,153,0
9,angryblacklady.com,Being Black in this country is dangerous business. #Ferguson,198,0
10,NorthCampus.org,People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/ROvs3mXYMM,1281,0
11,tonygaskins.com,Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson,367,0
12,tariqelite.com,"The #Ferguson shooting shows that being passive leads 2 more injustice. If a Black cop shot an unarmed white teen, Ferguson would be on fire",212,0
13,tonygaskins.com,"Police aren't being taught to protect and serve anymore. They are being taught to shoot first, explain later. #ferguson",700,0
14,TheObamaDiary.com,"Yes @stltoday describe people protesting police officer killing Michael Brown as ""mob"". Then, edit, ""crowd"" #ferguson http://t.co/xG3Hm8JLWy",144,0
15,tailsofjoy.net/shop/muriel/,"This is not a ""black"" loss. This is a loss for America, and everyone should be concerned, outraged &amp; involved. #Ferguson",501,0
16,TheObamaDiary.com,"If Michael Brown had been white, @stltoday would have described crowd not as a ""mob"", but as a 'heartbroken community'. #Ferguson",314,0
17,bondfireradio.com,calling the neighbors a mob = dehumanizing a community to justify all future wrongdoing. #mikebrown #ferguson,323,0
18,bondfireradio.com,call weeping neighbors a mob --&gt; paint a picture of a violent community #MikeBrown came from --&gt; justify his execution #Ferguson,226,0
19,tailsofjoy.net/shop/muriel/,"So would that ""angry mob"" in #Ferguson also qualify as ""concerned citizens""? What's the difference, skin color? #justice4all",235,0
20,about.me/christophercar…,"Unfollow me NOW if you're like ""Why was he running?"" or tweeting ANY justification 4 the murder of #MikeBrown by #Ferguson cops.",150,0
21,l0andbehold.tumblr.com,"PAY ATTENTION as ""teen"" becomes ""man,"" ""community"" becomes ""mob,"" and ""murder"" becomes ""alleged shooting."" #Ferguson #medialiteracy",4531,0
22,sarahkendzior.com,Interview with mother of victim. The police wouldn't let her ID her own son http://t.co/jUonPxq4TW #Ferguson,157,0
23,soulrevision.org,Police murder another unarmed 17 yr old blk kid &amp; police show up like this. I can't take it! #Ferguson #WeAreTargets http://t.co/RuZ8YAgGPr,214,0
24,l0andbehold.tumblr.com,"To all white ppl horrified by #Ferguson: go to police, school board, &amp; mayor and teach how anti-blackness kills. They don't listen to us.",223,0
25,NorthCampus.org,"The mother of #MikeBrown, the 17-year-old killed by #Ferguson police today, says her son was about to start at Vatterott College next week.",308,0
26,franiem.com,: Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/dCFmzlkFRD”,200,0
27,en.wikipedia.org/wiki/Michael_S…,"How many unarmed black teenagers will be killed in America? 

#ThatIsTheQuestion
#Ferguson http://t.co/5L8043MSaP",907,0
28,en.wikipedia.org/wiki/Michael_S…,Mike Brown was to start studying at Vatterott College on Monday. #Ferguson,353,0
29,en.wikipedia.org/wiki/Michael_S…,The police officer who killed Mike Brown has been put on paid administrative leave. #Ferguson,835,0
30,TheObamaDiary.com,"Michael Brown was due to begin classes at Vatterott College tomorrow.

His mother mourns his loss:

#Ferguson http://t.co/YMSK7Skp9y",214,0
31,en.wikipedia.org/wiki/Michael_S…,"Multiple witnesses have told the media in #Ferguson, that Mike Brown had his hands up when he was shot ""multiple"" times by police officer.",1956,0
32,thenegrointellectual.com,"Black bodies are no longer swinging from trees, they are laying on the streets.  #Ferguson #detriot #oakland #nyc #usa",136,0
33,sarahkendzior.com,Michael Brown was supposed to start classes at Vatterott College on Monday. Instead gunned down in street by #Ferguson police.,185,0
34,ReignOfApril.com,"Favorite this now: In the next week, we will hear about EVERY transgression #MikeBrown has ever had since soiling his diapers. #Ferguson",183,0
35,NorthCampus.org,People are gathering at the site where #Ferguson police killed 17-year-old #MikeBrown. Police have swarmed the area. http://t.co/NlqbthTiAc,468,0
36,kmjm.com,The police presence in #Ferguson following the shooting of Michael Brown was mind blowing. http://t.co/UGdNcWtpbH,188,0
37,NorthCampus.org,Rose petals and candles have been placed in the street where #MikeBrown's body laid. #Ferguson http://t.co/kCn4dHqNwQ,153,0
38,NorthCampus.org,"People in the street shouting ""No Justice, No Peace"" and blocking a Kinloch police car from passing. #Ferguson http://t.co/7jp4rqT4G6",426,0
39,bunb.com,Rest in Peace Mike Brown. #Ferguson,703,0
40,NorthCampus.org,The crowd has forced the police car to reverse. #ferguson https://t.co/B9YqGhq0hZ,144,0
41,NorthCampus.org,They've brought the dogs out in #Ferguson https://t.co/gXQeLtaXjt,363,0
42,lpwrites.com,#Ferguson Regardless of what color you are; the militarized police response here is BONECHILLING http://t.co/uumztSc6c8,337,0
43,en.wikipedia.org/wiki/Michael_S…,#Ferguson police have brought dogs into neighborhood. Residents protest with hands in the air. Tension is growing... http://t.co/BxYIsHHjnE,654,0
44,NorthCampus.org,Things are getting very tense in #Ferguson. https://t.co/2pDUHAR2B7,479,0
45,ReignOfApril.com,"Someone remind me what year it is again. Cops shoot unarmed young man then bring the dogs out to ""handle"" the crowd. #Ferguson #MikeBrown",255,0
46,NorthCampus.org,"Right now in #Ferguson, MO following the killing of 17-year-old #MikeBrown http://t.co/caqdthrkq0",1698,0
47,playvicio.us,The only reason those cops haven't gone all Selma on the people in #Ferguson is because the cameras are rolling. That's it.,100,0
48,TheObamaDiary.com,"Rest in Peace, Michael Brown. 17 forever.

#Ferguson http://t.co/fMq9mJRwtL",171,0
49,sarahkendzior.com,Awful. RT @AntonioFrench #Ferguson Police have dogs and shotguns. The unarmed crowd is raising their hands. https://t.co/OFXxJLuDtj,157,0
50,about.me/ingawillis,Black people die 2 deaths: 1) by public execution &amp; 2) an assassination of their character to justify the murder. #Ferguson #MikeBrown,494,0
51,playvicio.us,They broke out the terrorist response gear for citizens in #Ferguson protesting cold blooded police murder. Are we still in America??,161,0
52,playvicio.us,"The police in #Ferguson are using military suppression tactics on unarmed civilians. That's not law enforcement, b.",135,0
53,en.wikipedia.org/wiki/Michael_S…,Situation in #Ferguson getting very tense after police killed unarmed teenager Mike Brown (photo: @AntonioFrench) http://t.co/gL3y9pkfV7,489,0
54,mollycrabapple.com,Police dogs snarl at a crowd of mourners in #Ferguson. They are mourning the killing of another teenager by police http://t.co/BVGJAu2jvV”,357,0
55,blaxeptember.bandcamp.com,Crazy RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/0rmR6PhSvi,149,0
56,soulrevision.org,"The cop who shot #MikeBrown is on paid leave. 

Shoot a black kid, get a paid vacation. #WeAreTargets #Ferguson",354,0
57,DreamDefendersAction.org,The police have come into the community with dogs. #ferguson http://t.co/QWhlu0xEtB,129,0
58,youtube.com/watch?v=RIIWO7…,#message RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/vI4tDnvT1W,107,0
59,NorthCampus.org,"The #Ferguson chief, the County chief, County prosecutor, and @CharlieADooley need to reach out to the family and promise justice TONIGHT.",151,0
60,youtube.com/user/ihatevaco…,Reach RT @brennamuncy Someone please remind me what year it is again? #ferguson http://t.co/1Yz0RPNFIT,189,0
61,thedailybanter.com,White man with gun *goes* to Target. Black kid without gun *is* the target. #Ferguson,237,0
62,NorthCampus.org,"People are angry, frustrated but peaceful tonight in #Ferguson. The police dept's heavy handed approach made things worse. Leaving was good.",291,0
63,bunb.com,Dogs? In 2014? #Ferguson RT @AntonioFrench: Right now in #Ferguson MO following the killing of 17-year-old #MikeBrown http://t.co/iniDpLhVgo,570,0
64,l0andbehold.tumblr.com,"NOTICE: 0 evidence of ""kill the police"" chant in #Ferguson but all news outlets report it, yet pics of lifeless victim? ""Alleged shooting.""",166,0
65,NorthCampus.org,Police are leaving now. #ferguson https://t.co/tozjird2vf,133,0
66,NorthCampus.org,Protestors at the #Ferguson Police Dept. https://t.co/0gAGopdQ8u,150,0
67,NorthCampus.org,Protest at #Ferguson police dept right now https://t.co/zyZMLpgOpS,164,0
68,bannergirl-60plus.blogspot.com,It's messed up when cops can shoot unarmed Black teen yet White people can walk around Target with AR-15's! #Ferguson,326,0
69,NorthCampus.org,Protestors outside #Ferguson police department headquarters right now http://t.co/sjHMxSulha,1061,0
70,diverseeducation.com/article/51065/#,Don't live in #Ferguson? Call the Police station leave Chief Tom Jackson a message 314-522-3100 ext #5588 or tweet @stlcountypd #MikeBrown,193,0
71,soulrevision.org,#WeAreTargets RT @brennamuncy: Someone please remind me what year it is again? #ferguson http://t.co/ZRJ00GRDZG,1121,0
72,NorthCampus.org,At the #Ferguson police dept headquarters https://t.co/jIaKhelaAk,272,0
73,ksdk.com,"Protest continues in front of #ferguson police dept ""the people united, will never be defeated"" #FergusonShooting http://t.co/4wXq3z6tDX",215,0
74,ericawilliams.com,"The killing, the militarized police response, the coverage. How many more ways can you say ""Your lives hold no value""? #MikeBrown #Ferguson",227,0
75,thefreethoughtproject.com,This is not okay. #Ferguson http://t.co/hb3jH6GfAt,123,0
76,ericawilliams.com,I can't stomach another #justicefor campaign. Real justice isn't a conviction. It's black ppl not being used for target practice. #Ferguson,1371,0
77,ReignOfApril.com,"Please note Twitter had the #Ferguson story BEFORE ALL national news outlets. 

But keep telling me how Twitter doesn't matter. 😒",226,0
78,en.wikipedia.org/wiki/Michael_S…,"Witness: ""He threw his hands up and they shot him. The boy fell and they shot him some more."" #Ferguson http://t.co/sSbXDOUTMn",1557,0
79,thoughtsofbrown.com,"Trayvon Martin. Jordan Davis. Renisha McBride. Mike Brown. Our streets are stained with the blood of unarmed, black teens. #Ferguson",212,0
80,sarahkendzior.com,"Don't tell a heartbroken community how to feel, what to say. Try listening to them instead. #Ferguson",391,0
81,en.wikipedia.org/wiki/Lists_of_…,"It's incredibly upsetting hearing about the execution of children by the authorities in Iraq, Gaza, and Missouri. #MikeBrown #Ferguson",320,0
82,en.wikipedia.org/wiki/Michael_S…,Wonder how many breaking news reports there would be on national networks if a white unarmed teenager was shot + killed by police? #Ferguson,832,0
83,bit.ly/AFLAuction,Follow @MichaelSkolnik NOW if you want to follow the story about the unarmed teenager who was killed by the #Ferguson police.,324,0
